location,area,details,price,agent,agency,link,rooms,bathroom,parking
"Arte Cheras, Taman Midah, Cheras","Cheras, Kuala Lumpur",Serviced Residence | Intermediate  •  Built-up : 868 sq. ft.  •  Partly furnished,"RM 443,500",Matthew Yap,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/cheras/arte-cheras/sale-103071206/,3,2,1
Sungai Besi,"Sungai Besi, Kuala Lumpur","3-sty Terrace/Link House | Intermediate  •  Built-up : 2,600 sq. ft.  •  Partly furnished","RM 1,380,000",Cady Koh,Multilink Properties,https://www.iproperty.com.my/property/sungai-besi/sale-104423413/,5,4,
"Southlink, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur",Apartment  •  Built-up : 452 sq. ft.,"RM 470,000",Yanny Koh,Polygon Properties,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/southlink/sale-103740158/,Studio,1,1
"Residensi Sefina Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,333 sq. ft.  •  Fully furnished","RM 1,150,000",Jeffrey,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/residensi-sefina-mont-kiara/sale-104472768/,3+1,2,2
Sungai Besi,"Sungai Besi, Kuala Lumpur","3-sty Terrace/Link House | Intermediate  •  Built-up : 2,600 sq. ft.  •  Partly furnished","RM 1,600,000",Cady Koh,Multilink Properties,https://www.iproperty.com.my/property/sungai-besi/sale-103972677/,5,4,4
"Sunway Mont Residences, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,122 sq. ft.  •  Unfurnished","RM 1,100,000",Jeffrey,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/sunway-mont-residences/sale-104472754/,2+1,2,2
Sungai Besi,"Sungai Besi, Kuala Lumpur","3-sty Terrace/Link House | Intermediate  •  Built-up : 3,216 sq. ft.  •  Partly furnished","RM 1,590,000",Cady Koh,Multilink Properties,https://www.iproperty.com.my/property/sungai-besi/sale-102791661/,5,6,4
Sungai Besi,"Sungai Besi, Kuala Lumpur","3-sty Terrace/Link House | Intermediate  •  Built-up : 3,200 sq. ft.  •  Fully furnished","RM 1,680,000",Cady Koh,Multilink Properties,https://www.iproperty.com.my/property/sungai-besi/sale-103972879/,5,6,4
Sungai Besi,"Sungai Besi, Kuala Lumpur","3-sty Terrace/Link House | Intermediate  •  Built-up : 3,200 sq. ft.  •  Partly furnished","RM 1,650,000",Cady Koh,Multilink Properties,https://www.iproperty.com.my/property/sungai-besi/sale-103972892/,5,6,4
Sungai Besi,"Sungai Besi, Kuala Lumpur","3-sty Terrace/Link House | Intermediate  •  Built-up : 3,200 sq. ft.","RM 1,600,000",Cady Koh,Multilink Properties,https://www.iproperty.com.my/property/sungai-besi/sale-104423352/,5,6,4
