location,area,details,price,agent,agency,link,rooms,bathroom,parking
"East Parc @ Manjalara, Bandar Menjalara","Bandar Menjalara, Kuala Lumpur","Serviced Residence | Dual key  •  Built-up : 1,510 sq. ft.  •  Partly furnished","RM 900,000",Chris Tye,Focus Estate Agency Sdn. Bhd.,https://www.iproperty.com.my/property/bandar-menjalara/east-parc-manjalara/sale-101793847/,4,3,2
"The Northshore Gardens, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur",Condominium  •  Built-up : 915 sq. ft.  •  Fully furnished,"RM 950,000",Carol Yong,Cornerstone Xstate Sdn Bhd - Listing Jacket,https://www.iproperty.com.my/property/desa-park-city/the-northshore-gardens/sale-103607260/,1+1,1,1
"Lake City, Taman Wahyu, Kepong","Kepong, Kuala Lumpur",Serviced Residence  •  Built-up : 567 sq. ft.  •  Partly furnished,"RM 350,000",Chris Tye,Focus Estate Agency Sdn. Bhd.,https://www.iproperty.com.my/property/kepong/lake-city/sale-102172800/,1,1,1
"8 Kia Peng, KLCC","KLCC, Kuala Lumpur","Serviced Residence | Duplex  •  Built-up : 1,341 sq. ft.  •  Fully furnished","RM 3,100,000",Francis Ngooi,Reapfield Properties (HQ) Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/8-kia-peng/ol-sale-104471842/,2+1,3,2
"Lumina Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,448 sq. ft.  •  Fully furnished","RM 950,000",Ken Choong,Rvt Realty,https://www.iproperty.com.my/property/mont-kiara/lumina-kiara/sale-103853577/,2+1,4,2
Country Heights Damansara,"Country Heights Damansara, Kuala Lumpur","Bungalow  •  Built-up : 11,000 sq. ft.  •  Partly furnished","RM 9,000,000",Mac Chia,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/country-heights-damansara/sale-100820399/,7+1,6,8
Country Heights Damansara,"Country Heights Damansara, Kuala Lumpur","Bungalow  •  Built-up : 12,500 sq. ft.  •  Fully furnished","RM 8,000,000",Mac Chia,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/country-heights-damansara/sale-104253511/,6+1,8,6
"Four Seasons Place, KLCC","KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,271 sq. ft.  •  Partly furnished","RM 5,980,000",Dave Soh,Arden Estates Sdn Bhd,https://www.iproperty.com.my/property/klcc/four-seasons-place/sale-103869694/,3+2,4,2
"Pavilion Suites, Bukit Bintang","Bukit Bintang, Kuala Lumpur",Condominium | Corner lot  •  Built-up : 718 sq. ft.  •  Fully furnished,"RM 2,000,000",Daniel Chieng,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/bukit-bintang/pavilion-suites/sale-101004474/,1,1,1
"Pavilion Suites, Bukit Bintang","Bukit Bintang, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,254 sq. ft.  •  Fully furnished","RM 3,700,000",Daniel Chieng,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/bukit-bintang/pavilion-suites/sale-101004520/,2,2,1
"Pavilion Suites, Bukit Bintang","Bukit Bintang, Kuala Lumpur",Condominium | Intermediate  •  Built-up : 747 sq. ft.  •  Fully furnished,"RM 2,400,000",Daniel Chieng,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/bukit-bintang/pavilion-suites/sale-101004470/,1,1,1
"Stonor 3, KLCC","KLCC, Kuala Lumpur",Condominium | Intermediate  •  Built-up : 871 sq. ft.  •  Partly furnished,"RM 1,088,888",Neou WP,Dutama Properties,https://www.iproperty.com.my/property/klcc/stonor-3/sale-103385979/,2,2,2
"Stonor 3, KLCC","KLCC, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,232 sq. ft.  •  Partly furnished","RM 1,550,000",Neou WP,Dutama Properties,https://www.iproperty.com.my/property/klcc/stonor-3/sale-103385981/,3,3,2
"Pavilion Hilltop, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,830 sq. ft.  •  Fully furnished","RM 1,800,000",Ivan How,CBD Properties Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/pavilion-hilltop/sale-104471729/,4,4,2
"The Riyang, Kuchai Lama","Kuchai Lama, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,780 sq. ft.  •  Partly furnished","RM 1,188,000",Adeline Teh,HARTAMAS REAL ESTATE (MALAYSIA) SDN. BHD.,https://www.iproperty.com.my/property/kuchai-lama/the-riyang/sale-104079656/,3+1,4,2
"Le Yuan Residence, Happy Garden, Jalan Klang Lama (Old Klang Road)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,400 sq. ft.  •  Fully furnished","RM 829,999",Adeline Teh,HARTAMAS REAL ESTATE (MALAYSIA) SDN. BHD.,https://www.iproperty.com.my/property/jalan-klang-lama-old-klang-road/le-yuan-residence/sale-103312005/,3,3,2
"Sunway SPK, Sunway SPK Damansara, Sunway SPK","Sunway SPK, Kuala Lumpur","2-sty Terrace/Link House | End lot  •  Built-up : 2,398 sq. ft.  •  Partly furnished","RM 2,400,000",Kent Chua,BIG PLUS PROPERTIES SDN BHD,https://www.iproperty.com.my/property/sunway-spk/sale-104350505/,4+1,3,3
"Four Seasons Place, KLCC","KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,841 sq. ft.  •  Partly furnished","RM 11,800,000",Ivan How,CBD Properties Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/four-seasons-place/sale-103639091/,4,6,3
"Levenue ,Desa ParkCity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Semi-detached House | Corner lot  •  Built-up : 3,800 sq. ft.  •  Partly furnished","RM 5,500,000",Kent Chua,BIG PLUS PROPERTIES SDN BHD,https://www.iproperty.com.my/property/desa-park-city/sale-101434423/,7+1,7,4
"Bukit Bandaraya, Bangsar","Bangsar, Kuala Lumpur","Bungalow | Intermediate  •  Built-up : 4,500 sq. ft.  •  Partly furnished","RM 3,500,000",Debbie Lam,Twincrest Properties,https://www.iproperty.com.my/property/bangsar/sale-102917215/,5+1,4,4
"Bangsar baru, Bangsar","Bangsar, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,000 sq. ft.  •  Unfurnished","RM 1,500,000",Debbie Lam,Twincrest Properties,https://www.iproperty.com.my/property/bangsar/sale-103887872/,4,3,2
"The Link 2 Residences, Bukit Jalil","Bukit Jalil, Kuala Lumpur","Serviced Residence  •  Built-up : 1,208 sq. ft.  •  Fully furnished","RM 760,000",Felix Lee,Sinland Real Estate,https://www.iproperty.com.my/property/bukit-jalil/the-link-2-residences/sale-104361364/,3,2,2
"Prisma Perdana, Taman Midah, Cheras","Cheras, Kuala Lumpur",Apartment | Intermediate  •  Built-up : 818 sq. ft.  •  Unfurnished,"RM 308,000",Jack Lau,GT Nelson Realty Sdn Bhd,https://www.iproperty.com.my/property/cheras/prisma-perdana/sale-104464912/,3,2,1
"The mansions , Desa ParkCity","Desa ParkCity, Kuala Lumpur","3.5-sty Terrace/Link House | Intermediate  •  Built-up : 6,600 sq. ft.  •  Partly furnished","RM 6,450,000",Andrew Tan,Reapfield Properties (HQ) Sdn. Bhd.,https://www.iproperty.com.my/property/desa-park-city/sale-102899314/,6+1,7,6
"One Central Park, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,378 sq. ft.  •  Partly furnished","RM 1,700,000",Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/one-central-park/sale-104432634/,2+1,3,2
"Westside Three, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,228 sq. ft.  •  Partly furnished","RM 1,100,000",Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/westside-three/sale-104380789/,2+1,2,2
"One Central Park, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,808 sq. ft.  •  Partly furnished","RM 2,550,000",Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/one-central-park/sale-104309275/,3+1,4,2
"Davinia, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Bungalow  •  Built-up : 11,000 sq. ft.","RM 8,000,000",Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/sale-104016202/,5,5,
"Park Regent, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,046 sq. ft.","RM 3,500,000",Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/park-regent/sale-104413939/,3+1,4,3
"One Central Park, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,797 sq. ft.  •  Partly furnished","RM 2,200,000",Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/one-central-park/sale-100864348/,3+1,4,2
"The Westside Two, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,777 sq. ft.  •  Partly furnished","RM 1,580,000",Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/the-westside-two/sale-104494717/,3+1,4,2
"Adora, Desa ParkCity","Desa ParkCity, Kuala Lumpur","3-sty Terrace/Link House | Corner lot  •  Built-up : 2,487 sq. ft.  •  Partly furnished","RM 2,880,000",Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/sale-104254023/,4+1,4,2
"The Northshore Gardens, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,476 sq. ft.","RM 2,500,000",Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/the-northshore-gardens/sale-104410327/,4+1,4,3
"The Westside Two, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,777 sq. ft.  •  Partly furnished","RM 1,750,000",Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/the-westside-two/sale-104494736/,3+1,4,2
"Park Place, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,217 sq. ft.  •  Partly furnished","RM 1,980,000",Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/park-place/sale-103822912/,3+2,4,3
"Parc 3, Cheras","Cheras, Kuala Lumpur",Serviced Residence  •  Built-up : 977 sq. ft.  •  Partly furnished,"RM 778,000",Vickky Wong,The Roof Realty - Kuchai Lama,https://www.iproperty.com.my/property/cheras/parc-3/ol-sale-104422415/,3,2,2
"Arte Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur",Serviced Residence  •  Built-up : 948 sq. ft.  •  Fully furnished,"RM 1,088,000",Kelvin Hew,CHESTER PROPERTIES SDN.BHD.,https://www.iproperty.com.my/property/mont-kiara/arte-mont-kiara/sale-104446090/,2,2,1
"Arte Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur",Serviced Residence  •  Built-up : 948 sq. ft.  •  Fully furnished,"RM 1,038,000",Kelvin Hew,CHESTER PROPERTIES SDN.BHD.,https://www.iproperty.com.my/property/mont-kiara/arte-mont-kiara/sale-104446069/,2,2,1
"Anyaman Residence, Sungai Besi","Sungai Besi, Kuala Lumpur","Condominium  •  Built-up : 1,109 sq. ft.  •  Partly furnished","RM 500,000",Siew Wei Lim,CRYSTAL REALTORS SDN BHD,https://www.iproperty.com.my/property/sungai-besi/anyaman-residence/sale-104445967/,4,2,2
"Adora, Desa ParkCity","Desa ParkCity, Kuala Lumpur","3-sty Terrace/Link House | End lot  •  Built-up : 1,917 sq. ft.  •  Partly furnished","RM 2,200,000",Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/sale-103267446/,3,3,2
"The Goodwood Residence, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,184 sq. ft.  •  Partly furnished","RM 850,000",Nova Chua,Polygon Properties,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/the-goodwood-residence/sale-103805274/,4,3,2
"Aira Residence, Damansara Heights","Damansara Heights, Kuala Lumpur","Condominium  •  Built-up : 1,894 sq. ft.  •  Partly furnished","RM 2,800,000",Eugene Yap,Focus Estate Agency Sdn. Bhd.,https://www.iproperty.com.my/property/damansara-heights/aira-residence/sale-104422204/,3+1,3,2
"Glomac Damansara, Taman Tun Dr Ismail","Taman Tun Dr Ismail, Kuala Lumpur",Serviced Residence  •  Built-up : 876 sq. ft.  •  Partly furnished,"RM 750,000",Hor Yan,The Roof Realty - Kuchai Lama,https://www.iproperty.com.my/property/taman-tun-dr-ismail/glomac-damansara/sale-104422138/,2,2,1
"Suria Stonor, KLCC","KLCC, Kuala Lumpur","Serviced Residence | Intermediate  •  Built-up : 3,300 sq. ft.  •  Partly furnished","RM 2,250,000",Darren Goh,Dutama Properties,https://www.iproperty.com.my/property/klcc/suria-stonor/sale-101949462/,3+1,4,2
"Lucky Garden, Bangsar","Bangsar, Kuala Lumpur","Semi-detached House | Intermediate  •  Built-up : 3,000 sq. ft.  •  Partly furnished","RM 3,000,000",Ravi,City Real Properties,https://www.iproperty.com.my/property/bangsar/ol-sale-104445773/,5,3,2
"TRX Residence @ TRX, KL City","KL City, Kuala Lumpur","Serviced Residence | Intermediate  •  Built-up : 1,259 sq. ft.  •  Partly furnished","RM 2,500,000",Darren Goh,Dutama Properties,https://www.iproperty.com.my/property/kl-city/trx-residence-trx/sale-102605993/,3,2,2
"Pavilion Ceylon Hill, Bukit Ceylon, KL City","KL City, Kuala Lumpur","Serviced Residence | Intermediate  •  Built-up : 1,165 sq. ft.  •  Partly furnished","RM 1,450,000",Darren Goh,Dutama Properties,https://www.iproperty.com.my/property/kl-city/pavilion-ceylon-hill/sale-103449410/,2+1,2,1
"Stonor 3, KLCC","KLCC, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,031 sq. ft.  •  Partly furnished","RM 1,350,000",Darren Goh,Dutama Properties,https://www.iproperty.com.my/property/klcc/stonor-3/sale-101949167/,3,2,2
"Mont Kiara Bayu, Mont Kiara","Mont Kiara, Kuala Lumpur",Condominium  •  Built-up : 798 sq. ft.,"RM 530,000",Angelyn Fong,Chester Properties Sdn Bhd (HQ),https://www.iproperty.com.my/property/mont-kiara/mont-kiara-bayu/sale-103718033/,1,2,1
"Cascadium, Bangsar","Bangsar, Kuala Lumpur",Condominium  •  Built-up : 780 sq. ft.,"RM 750,000",Janet Kitto,Mirae Properties,https://www.iproperty.com.my/property/bangsar/cascadium/sale-100395132/,1,1,2
"Sang Suria, Sentul","Sentul, Kuala Lumpur","Condominium | Duplex  •  Built-up : 3,248 sq. ft.  •  Partly furnished","RM 1,380,000",Ravi,City Real Properties,https://www.iproperty.com.my/property/sentul/sang-suria/ol-sale-104445670/,4,4,3
"28 Dutamas, Dutamas","Dutamas, Kuala Lumpur","Condominium  •  Built-up : 1,467 sq. ft.  •  Unfurnished","RM 728,000",Hor Yan,The Roof Realty - Kuchai Lama,https://www.iproperty.com.my/property/dutamas/28-dutamas/sale-104420808/,3+1,3,2
"South Brooks, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,093 sq. ft.  •  Partly furnished","RM 1,060,000",Priscillia Ku,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/south-brooks/ol-sale-104220083/,2+1,2,2
Taman Desa,"Taman Desa, Kuala Lumpur","3-sty Terrace/Link House | Intermediate  •  Built-up : 3,000 sq. ft.  •  Partly furnished","RM 3,000,000",Citta Cheng,IQI Realty Sdn Bhd - Desa Sri Hartamas,https://www.iproperty.com.my/property/taman-desa/sale-103360644/,3+1,3,
"Savio @ Riana Dutamas, Dutamas","Dutamas, Kuala Lumpur",Serviced Residence  •  Built-up : 903 sq. ft.  •  Partly furnished,"RM 539,999",Chaolim Chee,Dreamvest Realty Sdn. Bhd.,https://www.iproperty.com.my/property/dutamas/savio-riana-dutamas/ol-sale-104503135/,2,2,2
"Corinthian Condominium, KLCC","KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 4,123 sq. ft.  •  Partly furnished","RM 3,000,000",Jaysen See,EUM Realty Sdn. Bhd. (Pandan Perdana),https://www.iproperty.com.my/property/klcc/corinthian-condominium/ol-sale-104445636/,5+1,5,1
"Le Yuan Residence, Happy Garden, Jalan Klang Lama (Old Klang Road)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,782 sq. ft.  •  Partly furnished","RM 1,099,000",Adeline Teh,HARTAMAS REAL ESTATE (MALAYSIA) SDN. BHD.,https://www.iproperty.com.my/property/jalan-klang-lama-old-klang-road/le-yuan-residence/sale-104117940/,3+1,5,3
"Laman Residen Taman Residensi Taman Tasik Indah , Jalan Ipoh","Jalan Ipoh, Kuala Lumpur","Semi-detached House | Intermediate  •  Built-up : 4,000 sq. ft.  •  Partly furnished","RM 1,390,000",Hugo How,HARMONY GENERATIONS PROPERTIES,https://www.iproperty.com.my/property/jalan-ipoh/ol-sale-104466904/,4+1,4,3
"Amelia Garden Home, Flat Level, Desa ParkCity","Desa ParkCity, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,600 sq. ft.  •  Partly furnished","RM 2,950,000",Sean Ang,BIG PLUS PROPERTIES SDN BHD,https://www.iproperty.com.my/property/desa-park-city/sale-104311496/,3+1,4,3
Seputeh,"Seputeh, Kuala Lumpur","Bungalow  •  Built-up : 7,317 sq. ft.  •  Partly furnished","RM 4,500,000",Ryn Choong,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/seputeh/sale-104421829/,5,3,4
"Nadi Bangsar, Bangsar","Bangsar, Kuala Lumpur",Serviced Residence | Corner lot  •  Built-up : 441 sq. ft.  •  Fully furnished,"RM 575,000",Caren Wong,Esprit Estate Agent Sdn. Bhd.,https://www.iproperty.com.my/property/bangsar/nadi-bangsar/sale-100465680/,Studio,1,1
"Nadi Bangsar, Bangsar","Bangsar, Kuala Lumpur","Serviced Residence  •  Built-up : 1,098 sq. ft.","RM 1,280,000",Caren Wong,Esprit Estate Agent Sdn. Bhd.,https://www.iproperty.com.my/property/bangsar/nadi-bangsar/sale-100609608/,2,2,1
"The Oval, KLCC","KLCC, Kuala Lumpur","Serviced Residence  •  Built-up : 3,900 sq. ft.  •  Fully furnished","RM 5,350,000",M.J. Zairin,Azmi & Co. (Estate Agency) Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/the-oval/ol-sale-104273110/,3+1,4,2
"Levenue double storey, Desa ParkCity","Desa ParkCity, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,900 sq. ft.  •  Partly furnished","RM 2,880,000",Sean Ang,BIG PLUS PROPERTIES SDN BHD,https://www.iproperty.com.my/property/desa-park-city/sale-104177719/,5+1,6,3
"Nadi Bangsar, Bangsar","Bangsar, Kuala Lumpur","Serviced Residence  •  Built-up : 1,076 sq. ft.  •  Unfurnished","RM 1,310,000",Caren Wong,Esprit Estate Agent Sdn. Bhd.,https://www.iproperty.com.my/property/bangsar/nadi-bangsar/sale-100465674/,2,2,1
"Adora Courtyard Terrace, End lot with land, Desa ParkCity","Desa ParkCity, Kuala Lumpur","3-sty Terrace/Link House | End lot  •  Built-up : 1,902 sq. ft.  •  Partly furnished","RM 2,200,000",Sean Ang,BIG PLUS PROPERTIES SDN BHD,https://www.iproperty.com.my/property/desa-park-city/sale-104349703/,3+1,3,2
"Adora Corner, Desa ParkCity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","3-sty Terrace/Link House | Corner lot  •  Built-up : 2,200 sq. ft.  •  Fully furnished","RM 2,880,000",Sean Ang,BIG PLUS PROPERTIES SDN BHD,https://www.iproperty.com.my/property/desa-park-city/sale-104177732/,4+1,4,2
"Nadi Bangsar, Bangsar","Bangsar, Kuala Lumpur",Serviced Residence | Intermediate  •  Built-up : 689 sq. ft.  •  Fully furnished,"RM 950,000",Caren Wong,Esprit Estate Agent Sdn. Bhd.,https://www.iproperty.com.my/property/bangsar/nadi-bangsar/sale-101903242/,1+1,1,1
"Taman Bukit Maluri (Endlot), Bandar Menjalara, Kepong","Kepong, Kuala Lumpur","2-sty Terrace/Link House | End lot  •  Built-up : 2,560 sq. ft.  •  Partly furnished","RM 1,070,000",Chloe Cheong,Tech Realtors Properties Sdn. Bhd.,https://www.iproperty.com.my/property/kepong/sale-104255895/,5,3,
"Taman Bukit Maluri, Kepong","Kepong, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,870 sq. ft.  •  Unfurnished","RM 950,000",Chloe Cheong,Tech Realtors Properties Sdn. Bhd.,https://www.iproperty.com.my/property/kepong/sale-103895510/,4,3,
"Park Place, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 2,217 sq. ft.","RM 2,000,000",Priscillia Ku,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/park-place/sale-103842780/,3+2,4,3
Country Heights Damansara,"Country Heights Damansara, Kuala Lumpur","Bungalow  •  Built-up : 11,000 sq. ft.","RM 9,000,000",Citta Cheng,IQI Realty Sdn Bhd - Desa Sri Hartamas,https://www.iproperty.com.my/property/country-heights-damansara/sale-104445375/,7+1,8,6
"Inspirasi, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,015 sq. ft.  •  Unfurnished","RM 790,000",Jeffrey,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/inspirasi/sale-104470342/,3,2,2
"East Parc @ Manjalara, Bandar Menjalara","Bandar Menjalara, Kuala Lumpur",Serviced Residence | Corner lot  •  Built-up : 711 sq. ft.  •  Partly furnished,"RM 530,000",Felix Lee,Sinland Real Estate,https://www.iproperty.com.my/property/bandar-menjalara/east-parc-manjalara/sale-104198370/,2,2,2
"Twy Duplex Condos, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,374 sq. ft.  •  Fully furnished","RM 1,250,000",Jeffrey,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/twy-duplex-condos/sale-104470338/,2,3,2
"Zenia, Zenia Parkhome, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","2-sty Terrace/Link House | Corner lot  •  Built-up : 3,079 sq. ft.  •  Partly furnished","RM 3,980,000",Priscillia Ku,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/sale-102508440/,3+1,4,
"Levenue Desa ParkCity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","2-sty Terrace/Link House  •  Built-up : 3,000 sq. ft.","RM 2,880,000",Priscillia Ku,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/sale-104186265/,5+1,6,3
"The Ritz-Carlton Residences, KLCC","KLCC, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 2,960 sq. ft.  •  Partly furnished","RM 8,580,000",Jeffrey Ng,Dutama Properties,https://www.iproperty.com.my/property/klcc/the-ritz-carlton-residences/sale-103397890/,4+1,5,4
Taman Tun Dr Ismail,"Taman Tun Dr Ismail, Kuala Lumpur","Bungalow  •  Built-up : 5,214 sq. ft.","RM 5,500,000",Priscilla Wong,Asian Land Realty Sdn. Bhd. (MK),https://www.iproperty.com.my/property/taman-tun-dr-ismail/sale-103965009/,6+2,5,4
"Vortex, KLCC","KLCC, Kuala Lumpur",Serviced Residence  •  Built-up : 777 sq. ft.  •  Fully furnished,"RM 700,000",Sean Liew,The Roof Realty - Puchong,https://www.iproperty.com.my/property/klcc/vortex/sale-101223828/,2+1,2,
"Skyluxe On The Park Bukit Jalil, Bukit Jalil","Bukit Jalil, Kuala Lumpur","Serviced Residence  •  Built-up : 1,087 sq. ft.","RM 845,000",Jo Tan,Maxxan Realty - HQ,https://www.iproperty.com.my/property/bukit-jalil/skyluxe-on-the-park-bukit-jalil/sale-101257600/,3+1,2,2
"28 Mont Kiara @ MK28, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,535 sq. ft.","RM 2,000,000",Cindy Ng,STARLIGHT PROPERTY SDN BHD,https://www.iproperty.com.my/property/mont-kiara/28-mont-kiara-mk-28/ol-sale-104164903/,3+1,4,3
"The Address, Taman Desa","Taman Desa, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,319 sq. ft.  •  Partly furnished","RM 1,418,000",Kenton Khor,GATHER PROPERTIES SDN BHD,https://www.iproperty.com.my/property/taman-desa/the-address/sale-104267723/,4+1,4,4
"Sunway Montana Setapak Taman Melawati Ampang , Taman Melawati","Taman Melawati, Kuala Lumpur","3-sty Terrace/Link House | Intermediate  •  Built-up : 3,674 sq. ft.  •  Unfurnished","RM 1,800,000",Stephanie Khoo,Vivahomes Realty - Subang Jaya,https://www.iproperty.com.my/property/taman-melawati/sale-102231701/,4+1,5,3
"Sunway Montana Taman Melawati, Taman Melawati","Taman Melawati, Kuala Lumpur","2-sty Terrace/Link House  •  Built-up : 2,350 sq. ft.  •  Partly furnished","RM 1,550,000",Jo Tan,Maxxan Realty - HQ,https://www.iproperty.com.my/property/taman-melawati/sale-101257637/,3+1,4,3
"Sunway Montana Taman Melawati, Taman Melawati","Taman Melawati, Kuala Lumpur","2-sty Terrace/Link House  •  Built-up : 2,700 sq. ft.  •  Partly furnished","RM 1,480,000",Jo Tan,Maxxan Realty - HQ,https://www.iproperty.com.my/property/taman-melawati/sale-101257575/,3+1,4,3
"Sunway Montana Taman Melawati, Taman Melawati","Taman Melawati, Kuala Lumpur","3-sty Terrace/Link House | Intermediate  •  Built-up : 3,600 sq. ft.  •  Unfurnished","RM 1,750,000",Jo Tan,Maxxan Realty - HQ,https://www.iproperty.com.my/property/taman-melawati/sale-101257559/,4+1,6,4
"16 Quartz, Courtyard Villa, Taman Melawati","Taman Melawati, Kuala Lumpur","3-sty Terrace/Link House  •  Built-up : 3,480 sq. ft.  •  Partly furnished","RM 1,600,000",Stephanie Khoo,Vivahomes Realty - Subang Jaya,https://www.iproperty.com.my/property/taman-melawati/sale-100746029/,4+1,6,
"TRX Residence @ TRX, KL City","KL City, Kuala Lumpur","Serviced Residence  •  Built-up : 1,345 sq. ft.  •  Partly furnished","RM 3,206,000",Sun Teoh,Dutama Properties,https://www.iproperty.com.my/property/kl-city/trx-residence-trx/sale-103658985/,3+1,2,1
"TRX Residence @ TRX, KL City","KL City, Kuala Lumpur",Serviced Residence  •  Built-up : 850 sq. ft.  •  Partly furnished,"RM 1,506,000",Sun Teoh,Dutama Properties,https://www.iproperty.com.my/property/kl-city/trx-residence-trx/sale-103659046/,2+1,2,1
"The Binjai on the Park, KL City Centre, KLCC","KLCC, Kuala Lumpur","Condominium  •  Built-up : 3,218 sq. ft.  •  Fully furnished","RM 7,999,000",Sun Teoh,Dutama Properties,https://www.iproperty.com.my/property/klcc/the-binjai-on-the-park/ol-sale-104502581/,3+1,4,2
