location,area,details,price,date,agent,agency,link,rooms,bathroom,parking
"Kenny Hills Residence, Bukit Tunku (Kenny Hills)","Bukit Tunku (Kenny Hills), Kuala Lumpur","Condominium  •  Built-up : 3,789 sq. ft.  •  Partly furnished","RM 3,100,000",Posted on 09 Jan 2023 12:43 AM,Julian Ooi,JANWELL PROPERTIES SDN. BHD.,https://www.iproperty.com.my/property/bukit-tunku-kenny-hills/kenny-hills-residence/cl-sale-104372856/,4,5,
"Kenny Hills Residence, Bukit Tunku (Kenny Hills)","Bukit Tunku (Kenny Hills), Kuala Lumpur","Condominium  •  Built-up : 3,627 sq. ft.  •  Partly furnished","RM 3,000,000",Posted on 09 Jan 2023 12:40 AM,Julian Ooi,JANWELL PROPERTIES SDN. BHD.,https://www.iproperty.com.my/property/bukit-tunku-kenny-hills/kenny-hills-residence/cl-sale-104372825/,4,5,
"The Fiddlewoodz @ KL Metropolis, Solaris Dutamas, Dutamas","Dutamas, Kuala Lumpur","Serviced Residence  •  Built-up : 1,292 sq. ft.  •  Partly furnished","RM 1,272,500",Posted on 08 Jan 2023 11:42 PM,Matthew Yap,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/dutamas/the-fiddlewoodz-kl-metropolis/sale-103947281/,3,3,2
"Aira Residence, Damansara Heights","Damansara Heights, Kuala Lumpur","Condominium  •  Built-up : 4,489 sq. ft.  •  Partly furnished","RM 7,900,000",Posted on 08 Jan 2023 11:28 PM,Eugene Yap,Focus Estate Agency Sdn. Bhd.,https://www.iproperty.com.my/property/damansara-heights/aira-residence/sale-104413227/,4+1,5,3
"The Goodwood Residence, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","Condominium  •  Built-up : 1,281 sq. ft.  •  Partly furnished","RM 890,000",Posted on 08 Jan 2023 11:24 PM,Jocelyn Chai,POLYGON PROPERTIES SDN BHD,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/the-goodwood-residence/sale-102029527/,4,3,2
"Taman Midah, Cheras","Cheras, Kuala Lumpur","1-sty Terrace/Link House | Intermediate  •  Built-up : 1,400 sq. ft.  •  Partly furnished","RM 695,000",Posted on 08 Jan 2023 11:18 PM,Kevin Yai,PROPNEX REALTY SDN BHD,https://www.iproperty.com.my/property/cheras/sale-104438958/,3,2,2
"M Astra, Setapak","Setapak, Kuala Lumpur",Serviced Residence  •  Built-up : 850 sq. ft.,"RM 389,000",Posted on 08 Jan 2023 11:05 PM,Joyce Yap,Duxton Property Sdn Bhd,https://www.iproperty.com.my/property/setapak/m-astra/sale-104413179/,3,2,2
"28 Mont Kiara @ MK28, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,000 sq. ft.  •  Partly furnished","RM 2,500,000",Posted on 08 Jan 2023 10:50 PM,Jobe Koo,Chester Properties Sdn Bhd (HQ),https://www.iproperty.com.my/property/mont-kiara/28-mont-kiara-mk-28/sale-104251889/,4+2,4,3
"Suasana Sentral Loft, KL Sentral","KL Sentral, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,543 sq. ft.  •  Fully furnished","RM 1,190,000",Posted on 08 Jan 2023 10:41 PM,Chelvam,GDS Properties,https://www.iproperty.com.my/property/kl-sentral/suasana-sentral-loft/sale-103868587/,3,3,1
"The Henge, Taman Metropolitan Kepong, Kepong","Kepong, Kuala Lumpur","Condominium  •  Built-up : 1,100 sq. ft.  •  Partly furnished","RM 449,000",Posted on 08 Jan 2023 09:21 PM,Charmaine Tan,Sinland Real Estate,https://www.iproperty.com.my/property/kepong/the-henge/sale-103842757/,3,2,2
"Meadow Lake Field / Lakefields Sg Besi, Sungai Besi","Sungai Besi, Kuala Lumpur","3-sty Terrace/Link House | Intermediate  •  Built-up : 2,512 sq. ft.  •  Partly furnished","RM 1,030,000",Posted on 08 Jan 2023 09:08 PM,Elsis Liew,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/sungai-besi/sale-103984625/,4+1,5,2
"Expressionz Professional Suites, KL City","KL City, Kuala Lumpur",Serviced Residence | Intermediate  •  Built-up : 643 sq. ft.  •  Fully furnished,"RM 750,000",Posted on 08 Jan 2023 08:44 PM,Ronald Soo,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/kl-city/expressionz-professional-suites/sale-101820688/,2,2,1
"Tuscany, Bukit Bandaraya, Bangsar","Bangsar, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,519 sq. ft.  •  Partly furnished","RM 1,080,000",Posted on 08 Jan 2023 08:43 PM,Ronald Soo,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/bangsar/tuscany/sale-101234968/,3,2,1
"Suasana Bukit Ceylon / Raja Chulan Residences, Bukit Ceylon, KL City","KL City, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 1,582 sq. ft.  •  Fully furnished","RM 1,400,000",Posted on 08 Jan 2023 08:39 PM,Ronald Soo,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/kl-city/suasana-bukit-ceylon-raja-chulan-residences/sale-102791249/,3,3,2
"Avantas Residences, Jalan Klang Lama, Jalan Klang Lama (Old Klang Road)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur",Serviced Residence | Corner lot  •  Built-up : 858 sq. ft.  •  Fully furnished,"RM 670,000",Posted on 08 Jan 2023 08:38 PM,Ronald Soo,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/jalan-klang-lama-old-klang-road/avantas-residences/sale-103292753/,2,2,1
"10 Mont Kiara @ MK10, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,632 sq. ft.  •  Fully furnished","RM 3,350,000",Posted on 08 Jan 2023 08:30 PM,Chong Teck Seng,Kith and Kin Realty Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/10-mont-kiara-mk-10/sale-100568553/,4,4,3
"Pavilion Hilltop, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 3,671 sq. ft.","RM 3,860,000",Posted on 08 Jan 2023 08:16 PM,Lucas Liew,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/pavilion-hilltop/ol-sale-104492492/,5+1,6,3
"Agile Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,603 sq. ft.","RM 1,380,000",Posted on 08 Jan 2023 08:12 PM,Lucas Liew,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/agile-mont-kiara/ol-sale-104492479/,3+1,4,2
"South Brooks, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,537 sq. ft.  •  Partly furnished","RM 1,450,000",Posted on 08 Jan 2023 08:06 PM,Priscillia Ku,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/south-brooks/sale-104412769/,3+1,3,3
"The Mansions,Desa Parkcity,Kepong, Desa ParkCity","Desa ParkCity, Kuala Lumpur","3-sty Terrace/Link House  •  Built-up : 6,084 sq. ft.  •  Partly furnished","RM 6,300,000",Posted on 08 Jan 2023 07:39 PM,Eugene Yap,Focus Estate Agency Sdn. Bhd.,https://www.iproperty.com.my/property/desa-park-city/sale-103273493/,5+2,6,3
"Dua Residency, KLCC","KLCC, Kuala Lumpur","Condominium | Penthouse  •  Built-up : 6,491 sq. ft.  •  Partly furnished","RM 6,000,000",Posted on 08 Jan 2023 07:37 PM,Darren Goh,Dutama Properties,https://www.iproperty.com.my/property/klcc/dua-residency/sale-103199656/,5,5,4
"Setia SKY Residences, KLCC","KLCC, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 1,378 sq. ft.  •  Partly furnished","RM 1,150,000",Posted on 08 Jan 2023 07:33 PM,Darren Goh,Dutama Properties,https://www.iproperty.com.my/property/klcc/setia-sky-residences/sale-101949135/,3+1,4,3
"Stonor Park, KLCC","KLCC, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 3,326 sq. ft.  •  Partly furnished","RM 2,800,000",Posted on 08 Jan 2023 07:33 PM,Darren Goh,Dutama Properties,https://www.iproperty.com.my/property/klcc/stonor-park/ol-sale-104444675/,3+2,5,2
"The Ruma, KLCC","KLCC, Kuala Lumpur",Serviced Residence | Intermediate  •  Built-up : 915 sq. ft.  •  Partly furnished,"RM 1,500,000",Posted on 08 Jan 2023 07:32 PM,Darren Goh,Dutama Properties,https://www.iproperty.com.my/property/klcc/the-ruma/sale-101949242/,2+1,2,1
"Laman Rimbunan, Kepong","Kepong, Kuala Lumpur","3-sty Terrace/Link House | Corner lot  •  Built-up : 8,190 sq. ft.  •  Fully furnished","RM 2,399,999",Posted on 08 Jan 2023 07:25 PM,Ryan Teoh,Tech Realtors Properties Sdn. Bhd.,https://www.iproperty.com.my/property/kepong/sale-104492387/,5,6,
"Pavilion Ceylon Hill, Bukit Ceylon, KL City","KL City, Kuala Lumpur",Serviced Residence | Intermediate  •  Built-up : 834 sq. ft.  •  Partly furnished,"RM 1,000,000",Posted on 08 Jan 2023 07:21 PM,Darren Goh,Dutama Properties,https://www.iproperty.com.my/property/kl-city/pavilion-ceylon-hill/sale-101949637/,2,2,1
"idamansara - Gated & Guarded, Damansara Heights","Damansara Heights, Kuala Lumpur","Semi-detached House  •  Built-up : 4,700 sq. ft.  •  Partly furnished","RM 5,500,000",Posted on 08 Jan 2023 06:54 PM,Shawn Fernandez,AEGIS PROPERTY,https://www.iproperty.com.my/property/damansara-heights/sale-103597286/,5+1,6,2
