details
"Condominium | Intermediate  •  Built-up : 1,232 sq. ft.  •  Fully furnished"
"Condominium | Corner lot  •  Built-up : 1,098 sq. ft.  •  Fully furnished"
"Serviced Residence | Corner lot  •  Built-up : 2,600 sq. ft.  •  Fully furnished"
"Bungalow | Corner lot  •  Built-up : 6,000 sq. ft.  •  Partly furnished"
"Condominium  •  Built-up : 3,000 sq. ft.  •  Partly furnished"
"Condominium  •  Built-up : 2,906 sq. ft."
"2-sty Terrace/Link House | End lot  •  Built-up : 1,760 sq. ft.  •  Partly furnished"
Serviced Residence | Intermediate  •  Built-up : 435 sq. ft.  •  Fully furnished
"Condominium  •  Built-up : 1,830 sq. ft.  •  Partly furnished"
"Condominium  •  Built-up : 1,496 sq. ft.  •  Unfurnished"
"2-sty Terrace/Link House | Intermediate  •  Built-up : 1,760 sq. ft.  •  Partly furnished"
Serviced Residence | Intermediate  •  Built-up : 426 sq. ft.  •  Fully furnished
"Condominium  •  Built-up : 1,367 sq. ft."
"Condominium  •  Built-up : 1,743 sq. ft."
"Condominium | Corner lot  •  Built-up : 2,400 sq. ft.  •  Fully furnished"
Condominium | Intermediate  •  Built-up : 753 sq. ft.  •  Fully furnished
Serviced Residence | Intermediate  •  Built-up : 567 sq. ft.  •  Partly furnished
"Condominium | Corner lot  •  Built-up : 1,830 sq. ft.  •  Unfurnished"
"Condominium  •  Built-up : 1,357 sq. ft."
"Bungalow  •  Built-up : 4,500 sq. ft."
"Condominium  •  Built-up : 1,443 sq. ft.  •  Partly furnished"
"Condominium  •  Built-up : 1,367 sq. ft."
"Condominium  •  Built-up : 1,194 sq. ft.  •  Partly furnished"
"Condominium  •  Built-up : 1,093 sq. ft.  •  Partly furnished"
"2-sty Terrace/Link House | Intermediate  •  Built-up : 1,000 sq. ft.  •  Partly furnished"
Serviced Residence  •  Built-up : 750 sq. ft.  •  Partly furnished
"Serviced Residence  •  Built-up : 1,519 sq. ft.  •  Partly furnished"
"Bungalow  •  Built-up : 6,000 sq. ft."
Serviced Residence  •  Built-up : 680 sq. ft.
"Serviced Residence  •  Built-up : 1,400 sq. ft.  •  Fully furnished"
"2-sty Terrace/Link House | Intermediate  •  Built-up : 2,200 sq. ft.  •  Partly furnished"
"Serviced Residence | Corner lot  •  Built-up : 1,168 sq. ft.  •  Fully furnished"
"Condominium  •  Built-up : 1,777 sq. ft."
"Bungalow | Corner lot  •  Built-up : 5,900 sq. ft."
Serviced Residence  •  Built-up : 633 sq. ft.  •  Fully furnished
Serviced Residence | Intermediate  •  Built-up : 462 sq. ft.  •  Fully furnished
"Semi-detached House | Intermediate  •  Built-up : 2,582 sq. ft.  •  Partly furnished"
"2-sty Terrace/Link House | Corner lot  •  Built-up : 3,000 sq. ft.  •  Unfurnished"
Serviced Residence | Corner lot  •  Built-up : 662 sq. ft.  •  Fully furnished
Serviced Residence | Corner lot  •  Built-up : 932 sq. ft.  •  Fully furnished
"1.5-sty Terrace/Link House | Intermediate  •  Built-up : 1,900 sq. ft.  •  Partly furnished"
"1.5-sty Terrace/Link House | Intermediate  •  Built-up : 1,900 sq. ft."
"Condominium  •  Built-up : 2,315 sq. ft.  •  Partly furnished"
Condominium | Intermediate  •  Built-up : 938 sq. ft.  •  Partly furnished
"Condominium  •  Built-up : 1,170 sq. ft."
"Serviced Residence  •  Built-up : 2,405 sq. ft.  •  Partly furnished"
"2-sty Terrace/Link House | Intermediate  •  Built-up : 2,484 sq. ft.  •  Unfurnished"
"Condominium  •  Built-up : 1,851 sq. ft.  •  Fully furnished"
"Bungalow  •  Built-up : 5,100 sq. ft.  •  Partly furnished"
"2-sty Terrace/Link House | Intermediate  •  Built-up : 2,691 sq. ft.  •  Partly furnished"
"1-sty Terrace/Link House  •  Built-up : 1,650 sq. ft."
"1-sty Terrace/Link House | Corner lot  •  Built-up : 1,500 sq. ft."
"Bungalow  •  Built-up : 8,600 sq. ft."
Condominium | Corner lot  •  Built-up : 978 sq. ft.  •  Partly furnished
"Bungalow  •  Built-up : 4,500 sq. ft."
"Condominium | Corner lot  •  Built-up : 1,478 sq. ft.  •  Partly furnished"
"Bungalow  •  Built-up : 15,000 sq. ft."
"2.5-sty Terrace/Link House | Intermediate  •  Built-up : 2,600 sq. ft.  •  Fully furnished"
"Condominium  •  Built-up : 2,766 sq. ft.  •  Fully furnished"
"Condominium  •  Built-up : 1,830 sq. ft.  •  Unfurnished"
"1-sty Terrace/Link House | Intermediate  •  Built-up : 1,600 sq. ft.  •  Unfurnished"
"Condominium | Dual key  •  Built-up : 2,065 sq. ft.  •  Unfurnished"
"Condominium  •  Built-up : 1,603 sq. ft.  •  Unfurnished"
"1-sty Terrace/Link House  •  Built-up : 1,650 sq. ft."
"Bungalow  •  Built-up : 20,000 sq. ft.  •  Partly furnished"
"Serviced Residence | Intermediate  •  Built-up : 3,303 sq. ft.  •  Unfurnished"
"Condominium | Corner lot  •  Built-up : 2,368 sq. ft.  •  Partly furnished"
"1-sty Terrace/Link House  •  Built-up : 1,600 sq. ft."
"Serviced Residence  •  Built-up : 1,087 sq. ft.  •  Partly furnished"
"Condominium  •  Built-up : 1,392 sq. ft.  •  Partly furnished"
"Serviced Residence | Intermediate  •  Built-up : 1,076 sq. ft.  •  Partly furnished"
"Serviced Residence | Intermediate  •  Built-up : 1,668 sq. ft.  •  Fully furnished"
"Condominium | Corner lot  •  Built-up : 1,909 sq. ft.  •  Unfurnished"
"Condominium | Corner lot  •  Built-up : 1,367 sq. ft.  •  Fully furnished"
"Serviced Residence | Corner lot  •  Built-up : 1,279 sq. ft.  •  Fully furnished"
Condominium  •  Built-up : 761 sq. ft.
"Condominium | Corner lot  •  Built-up : 1,948 sq. ft.  •  Partly furnished"
"Bungalow  •  Built-up : 6,500 sq. ft.  •  Partly furnished"
"2-sty Terrace/Link House  •  Built-up : 2,329 sq. ft."
"Condominium  •  Built-up : 2,513 sq. ft."
"Condominium | Corner lot  •  Built-up : 2,454 sq. ft.  •  Partly furnished"
"2-sty Terrace/Link House  •  Built-up : 2,200 sq. ft."
"2-sty Terrace/Link House | Intermediate  •  Built-up : 3,000 sq. ft.  •  Partly furnished"
"Serviced Residence | Corner lot  •  Built-up : 1,133 sq. ft.  •  Unfurnished"
Condominium  •  Built-up : 718 sq. ft.  •  Fully furnished
"Condominium | Intermediate  •  Built-up : 1,878 sq. ft.  •  Fully furnished"
"Condominium  •  Built-up : 1,800 sq. ft.  •  Partly furnished"
"Condominium  •  Built-up : 1,152 sq. ft."
"Condominium  •  Built-up : 1,206 sq. ft."
"Condominium  •  Built-up : 1,335 sq. ft."
"Townhouse  •  Built-up : 2,750 sq. ft."
"Condominium  •  Built-up : 1,424 sq. ft."
Serviced Residence | Intermediate  •  Built-up : 893 sq. ft.
"Condominium  •  Built-up : 2,064 sq. ft."
"Condominium  •  Built-up : 3,289 sq. ft.  •  Partly furnished"
"1-sty Terrace/Link House | Corner lot  •  Built-up : 2,000 sq. ft.  •  Partly furnished"
Condominium | Intermediate  •  Built-up : 946 sq. ft.  •  Partly furnished
"Condominium  •  Built-up : 1,034 sq. ft."
"Condominium  •  Built-up : 1,099 sq. ft."
"Condominium | Intermediate  •  Built-up : 1,894 sq. ft.  •  Partly furnished"
"Condominium | Intermediate  •  Built-up : 2,174 sq. ft."
"Semi-detached House  •  Built-up : 4,460 sq. ft.  •  Partly furnished"
"Condominium | Corner lot  •  Built-up : 2,519 sq. ft.  •  Partly furnished"
"Bungalow | Intermediate  •  Built-up : 5,688 sq. ft."
"2-sty Terrace/Link House | Intermediate  •  Built-up : 2,500 sq. ft.  •  Fully furnished"
Serviced Residence  •  Built-up : 910 sq. ft.
"Condominium | Corner lot  •  Built-up : 2,073 sq. ft.  •  Fully furnished"
"Condominium | Corner lot  •  Built-up : 1,635 sq. ft.  •  Fully furnished"
"Bungalow | Corner lot  •  Built-up : 4,500 sq. ft.  •  Partly furnished"
Serviced Residence  •  Built-up : 850 sq. ft.
Serviced Residence  •  Built-up : 950 sq. ft.  •  Partly furnished
"Serviced Residence | Corner lot  •  Built-up : 2,343 sq. ft.  •  Fully furnished"
Serviced Residence | Corner lot  •  Built-up : 914 sq. ft.  •  Fully furnished
"Condominium  •  Built-up : 2,680 sq. ft.  •  Partly furnished"
"Condominium  •  Built-up : 2,863 sq. ft.  •  Partly furnished"
"Condominium | Intermediate  •  Built-up : 1,019 sq. ft.  •  Partly furnished"
"Bungalow  •  Built-up : 8,000 sq. ft.  •  Partly furnished"
"Bungalow | Corner lot  •  Built-up : 36,000 sq. ft."
"Condominium | Intermediate  •  Built-up : 1,450 sq. ft."
"Condominium  •  Built-up : 1,236 sq. ft.  •  Partly furnished"
"Bungalow | Corner lot  •  Built-up : 21,000 sq. ft.  •  Fully furnished"
"Condominium  •  Built-up : 1,271 sq. ft."
"Bungalow  •  Built-up : 10,170 sq. ft.  •  Partly furnished"
"2-sty Terrace/Link House | Intermediate  •  Built-up : 2,000 sq. ft."
Serviced Residence  •  Built-up : 815 sq. ft.
Serviced Residence  •  Built-up : 566 sq. ft.
Condominium  •  Built-up : 871 sq. ft.
"Condominium  •  Built-up : 1,232 sq. ft."
